timestamp,dns,upload,download,packketloss,min,max,average
2020-10-17 15:46:39.877947,Google,4,4,0,21ms,31ms,24ms
2020-10-17 16:46:41.304844,Cloudflare,4,4,0,17ms,23ms,19ms
2020-10-17 16:46:44.377737,Google,4,4,0,21ms,31ms,24ms
2020-10-17 17:46:47.461347,Cloudflare,4,4,0,18ms,25ms,21ms
2020-10-17 17:46:50.518597,Google,4,4,0,20ms,30ms,23ms
2020-10-17 18:46:53.589920,Cloudflare,4,4,0,17ms,24ms,20ms
2020-10-17 18:46:56.652605,Google,4,4,0,21ms,29ms,23ms
2020-10-17 19:46:59.741613,Cloudflare,4,4,0,18ms,23ms,19ms
2020-10-17 19:47:02.808299,Google,4,4,0,21ms,24ms,21ms
2020-10-17 20:47:05.884638,Cloudflare,4,4,0,20ms,33ms,27ms
2020-10-17 20:47:08.965327,Google,4,4,0,22ms,62ms,39ms
2020-10-17 21:47:12.035022,Cloudflare,4,4,0,18ms,19ms,18ms
2020-10-17 21:47:15.077703,Google,4,4,0,20ms,28ms,24ms
2020-10-17 22:47:18.139397,Cloudflare,4,4,0,17ms,18ms,17ms
2020-10-17 22:47:21.204082,Google,4,4,0,21ms,22ms,21ms
2020-10-17 23:47:24.289921,Cloudflare,4,4,0,17ms,18ms,17ms
2020-10-17 23:47:27.357469,Google,4,4,0,21ms,25ms,23ms
2020-10-18 00:47:30.436165,Cloudflare,4,4,0,17ms,20ms,18ms
2020-10-18 00:47:33.506852,Google,4,4,0,21ms,22ms,21ms
2020-10-18 01:47:36.559096,Cloudflare,4,4,0,17ms,19ms,18ms
2020-10-18 01:47:39.622781,Google,4,4,0,21ms,22ms,21ms
2020-10-18 02:47:42.693322,Cloudflare,4,4,0,17ms,22ms,18ms
2020-10-18 02:47:45.746005,Google,4,4,0,21ms,23ms,21ms
2020-10-18 03:47:48.803889,Cloudflare,4,4,0,17ms,18ms,17ms
2020-10-18 03:47:51.849548,Google,4,4,0,21ms,22ms,21ms
2020-10-18 04:47:54.925157,Cloudflare,4,4,0,18ms,21ms,18ms
2020-10-18 04:47:57.970392,Google,4,4,0,21ms,31ms,23ms
2020-10-18 05:48:01.026805,Cloudflare,4,4,0,17ms,21ms,18ms
2020-10-18 05:48:04.072486,Google,4,4,0,21ms,23ms,21ms
2020-10-18 06:48:07.127728,Cloudflare,4,4,0,17ms,18ms,17ms
2020-10-18 06:48:10.171036,Google,4,4,0,21ms,31ms,23ms
2020-10-18 07:48:13.250887,Cloudflare,4,4,0,17ms,31ms,21ms
2020-10-18 07:48:16.311552,Google,4,4,0,20ms,23ms,21ms
2020-10-18 08:48:19.372716,Cloudflare,4,4,0,17ms,20ms,18ms
2020-10-18 08:48:22.428399,Google,4,4,0,21ms,21ms,21ms
2020-10-18 09:48:25.499821,Cloudflare,4,4,0,17ms,18ms,17ms
2020-10-18 09:48:28.547503,Google,4,4,0,21ms,28ms,22ms
2020-10-18 10:48:31.621960,Cloudflare,4,4,0,17ms,32ms,20ms
2020-10-18 10:48:34.683644,Google,4,4,0,21ms,27ms,22ms
2020-10-18 11:48:37.742437,Cloudflare,4,4,0,17ms,19ms,18ms
2020-10-18 11:48:40.802121,Google,4,4,0,20ms,21ms,20ms
2020-10-18 12:48:43.885099,Cloudflare,4,4,0,17ms,19ms,17ms
2020-10-18 12:48:46.936590,Google,4,4,0,21ms,22ms,21ms
2020-10-18 13:48:50.007204,Cloudflare,4,4,0,18ms,41ms,27ms
