timestamp,ping,download,upload,isp,internalIp,name,externalIp,server_id,server,location
2020-10-19T07:45:54Z,22.504,28787708,17585235,NTT,2400:7800:8823:8300:21ca:8e97:5db7:e166,en0,2400:7800:8823:8300:21ca:8e97:5db7:e166,34313,Kyoto-network JP,Kyoto
2020-10-19T07:47:17Z,21.526,33953060,27966936,NTT,2400:7800:8823:8300:21ca:8e97:5db7:e166,en0,2400:7800:8823:8300:21ca:8e97:5db7:e166,34313,Kyoto-network JP,Kyoto
2020-10-19T07:49:43Z,18.948,30333235,27726402,NTT,2400:7800:8823:8300:21ca:8e97:5db7:e166,en0,2400:7800:8823:8300:21ca:8e97:5db7:e166,34313,Kyoto-network JP,Kyoto
