timestamp,ping,download,upload,isp,internalIp,externalIp,server_id,server,location
2020-10-16T14:50:26Z,30.078,7349528,4489484,NTT,192.168.1.8,125.202.20.130,15047,OPEN Project (via 20G SINET),Tokyo
2020-10-16T15:50:55Z,26.418,10966820,11880111,NTT,192.168.1.8,125.202.20.130,15047,OPEN Project (via 20G SINET),Tokyo
2020-10-16T16:51:17Z,22.502,20375474,12378597,NTT,192.168.1.8,125.202.20.130,28910,fdcservers.net,Tokyo
2020-10-16T17:51:46Z,23.368,25118144,16593122,NTT,192.168.1.8,125.202.20.130,28910,fdcservers.net,Tokyo
2020-10-16T18:52:19Z,29.522,18509643,13786358,NTT,192.168.1.8,125.202.20.130,15047,OPEN Project (via 20G SINET),Tokyo
2020-10-16T19:52:39Z,25.2,10267246,11966423,NTT,192.168.1.8,125.202.20.130,15047,OPEN Project (via 20G SINET),Tokyo
2020-10-16T20:53:05Z,23.104,23198992,15049402,NTT,192.168.1.8,125.202.20.130,15047,OPEN Project (via 20G SINET),Tokyo
2020-10-16T21:53:36Z,24.712,17408186,13686647,NTT,192.168.1.8,125.202.20.130,15047,OPEN Project (via 20G SINET),Tokyo
2020-10-17T09:49:58Z,26.557,30554474,15056935,NTT,192.168.1.8,125.202.20.130,28910,fdcservers.net,Tokyo
2020-10-17T10:50:29Z,25.804,14206352,7278557,NTT,2400:7800:8823:8300:3478:c430:753f:5d11,2400:7800:8823:8300:3478:c430:753f:5d11,34313,Kyoto-network JP,Kyoto
2020-10-17T11:51:02Z,25.283,23068300,15810327,NTT,192.168.1.8,125.202.20.130,28910,fdcservers.net,Tokyo
2020-10-17T12:51:25Z,18.716,17268916,12153683,NTT,2400:7800:8823:8300:3478:c430:753f:5d11,2400:7800:8823:8300:3478:c430:753f:5d11,34313,Kyoto-network JP,Kyoto
2020-10-17T13:51:52Z,22.18,16124198,9999032,NTT,2400:7800:8823:8300:3478:c430:753f:5d11,2400:7800:8823:8300:3478:c430:753f:5d11,34313,Kyoto-network JP,Kyoto
2020-10-17T14:52:19Z,29.916,21516609,14849765,NTT,192.168.1.8,125.202.20.130,28910,fdcservers.net,Tokyo
2020-10-17T15:52:49Z,24.698,33100581,14559448,NTT,192.168.1.8,125.202.20.130,28910,fdcservers.net,Tokyo
2020-10-17T16:53:15Z,21.935,23232223,17328374,NTT,2400:7800:8823:8300:3478:c430:753f:5d11,2400:7800:8823:8300:3478:c430:753f:5d11,34313,Kyoto-network JP,Kyoto
2020-10-17T17:53:40Z,22.413,23628201,15747628,NTT,2400:7800:8823:8300:3478:c430:753f:5d11,2400:7800:8823:8300:3478:c430:753f:5d11,34313,Kyoto-network JP,Kyoto
2020-10-17T18:54:05Z,21.887,27930039,16329137,NTT,2400:7800:8823:8300:13c:cc65:af45:ea23,2400:7800:8823:8300:13c:cc65:af45:ea23,34313,Kyoto-network JP,Kyoto
2020-10-17T19:54:32Z,24.883,17855413,15163906,NTT,2400:7800:8823:8300:13c:cc65:af45:ea23,2400:7800:8823:8300:13c:cc65:af45:ea23,34313,Kyoto-network JP,Kyoto
2020-10-17T20:55:01Z,22.338,30753932,16581014,NTT,2400:7800:8823:8300:13c:cc65:af45:ea23,2400:7800:8823:8300:13c:cc65:af45:ea23,34313,Kyoto-network JP,Kyoto
2020-10-17T21:55:25Z,20.92,23391287,16533884,NTT,2400:7800:8823:8300:13c:cc65:af45:ea23,2400:7800:8823:8300:13c:cc65:af45:ea23,34313,Kyoto-network JP,Kyoto
2020-10-17T22:55:50Z,24.92,25919700,17088220,NTT,2400:7800:8823:8300:13c:cc65:af45:ea23,2400:7800:8823:8300:13c:cc65:af45:ea23,34313,Kyoto-network JP,Kyoto
2020-10-17T23:56:21Z,22.481,20908386,13759545,NTT,2400:7800:8823:8300:13c:cc65:af45:ea23,2400:7800:8823:8300:13c:cc65:af45:ea23,34313,Kyoto-network JP,Kyoto
2020-10-18T00:56:46Z,26.542,32415515,14859747,NTT,192.168.1.8,125.202.20.130,28910,fdcservers.net,Tokyo
2020-10-18T01:57:18Z,24.094,19792874,15117223,NTT,2400:7800:8823:8300:13c:cc65:af45:ea23,2400:7800:8823:8300:13c:cc65:af45:ea23,34313,Kyoto-network JP,Kyoto
2020-10-18T02:57:45Z,26.578,18447982,15163553,NTT,192.168.1.8,125.202.20.130,28910,fdcservers.net,Tokyo
2020-10-18T03:58:11Z,24.315,24991058,13810902,NTT,2400:7800:8823:8300:13c:cc65:af45:ea23,2400:7800:8823:8300:13c:cc65:af45:ea23,34313,Kyoto-network JP,Kyoto
2020-10-18T04:58:44Z,21.606,19858549,15664035,NTT,2400:7800:8823:8300:13c:cc65:af45:ea23,2400:7800:8823:8300:13c:cc65:af45:ea23,34313,Kyoto-network JP,Kyoto
2020-10-18T05:59:09Z,26.059,17305100,13681459,NTT,192.168.1.8,125.202.20.130,28910,fdcservers.net,Tokyo
2020-10-18T06:59:38Z,22.31,20825182,9697061,NTT,2400:7800:8823:8300:13c:cc65:af45:ea23,2400:7800:8823:8300:13c:cc65:af45:ea23,34313,Kyoto-network JP,Kyoto
2020-10-18T08:00:04Z,18.704,21873189,15608581,NTT,2400:7800:8823:8300:13c:cc65:af45:ea23,2400:7800:8823:8300:13c:cc65:af45:ea23,34313,Kyoto-network JP,Kyoto
2020-10-18T09:00:28Z,21.718,19397456,6564465,NTT,2400:7800:8823:8300:13c:cc65:af45:ea23,2400:7800:8823:8300:13c:cc65:af45:ea23,34313,Kyoto-network JP,Kyoto
2020-10-18T10:00:53Z,18.195,19092031,14291554,NTT,2400:7800:8823:8300:13c:cc65:af45:ea23,2400:7800:8823:8300:13c:cc65:af45:ea23,34313,Kyoto-network JP,Kyoto
2020-10-18T11:01:18Z,22.198,17861202,9491133,NTT,2400:7800:8823:8300:13c:cc65:af45:ea23,2400:7800:8823:8300:13c:cc65:af45:ea23,34313,Kyoto-network JP,Kyoto
2020-10-18T12:01:46Z,29.952,17877947,13243043,NTT,2400:7800:8823:8300:13c:cc65:af45:ea23,2400:7800:8823:8300:13c:cc65:af45:ea23,35106,yoshis.jp,Fukuoka
2020-10-18T13:02:14Z,29.766,20723425,16163380,NTT,2400:7800:8823:8300:13c:cc65:af45:ea23,2400:7800:8823:8300:13c:cc65:af45:ea23,24333,"Rakuten Mobile , Inc",Tokyo
2020-10-18T14:02:40Z,28.825,19099437,13454145,NTT,2400:7800:8823:8300:13c:cc65:af45:ea23,2400:7800:8823:8300:13c:cc65:af45:ea23,35106,yoshis.jp,Fukuoka
